"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse"
"60",105761,"C1307F561",26.97,1.617319877,"measured",0,4,"",369,-79.58,40.59,"F"
"61",105840,"C1307F611",38.54,1.617319877,"measured",0,6,"",NA,-78.14,40.06,"F"
"62",105844,"C1307F612",39.06,1.617319877,"measured",0,4,"",NA,-78.14,40.06,"F"
"63",105848,"C1307F613",47.59,1.617319877,"measured",0,6,"",NA,-78.14,40.06,"F"
"64",105851,"C1307F614",48.41,1.617319877,"measured",0,4,"",NA,-78.14,40.06,"F"
"65",105855,"C1307F615",41.03,1.617319877,"measured",0,3,"",NA,-78.14,40.06,"F"
"66",107046,"C1309F011",21.46,1.617319877,"measured",0,3,"",NA,-78.15,39.93,"F"
"67",107051,"C1309F012",36.1,1.617319877,"measured",0,2,"",NA,-78.15,39.93,"F"
"68",107056,"C1309F013",12.2,1.617319877,"measured",0,6,"",NA,-78.15,39.93,"F"
"69",107064,"C1309F015",9.32,1.617319877,"measured",0,2,"l",NA,-78.15,39.93,"F"
"70",107095,"C1309F031",47,1.617319877,"measured",0,7,"",NA,-77.69,41.56,"F"
"71",107102,"C1309F032",44.28,1.617319877,"measured",0,5,"",NA,-77.69,41.56,"F"
"72",107108,"C1309F033",36.38,1.617319877,"measured",0,6,"",NA,-77.69,41.56,"F"
"73",107114,"C1309F034",17.36,1.617319877,"measured",0,3,"sil",NA,-77.69,41.56,"F"
"74",107119,"C1309F035",20.65,1.617319877,"measured",0,3,"",NA,-77.69,41.56,"F"
"75",107513,"C1310F012",33.71,1.617319877,"measured",0,1,"",697.099975585938,-79.28,39.98,"F"
"76",107519,"C1310F013",34.85,1.617319877,"measured",0,2,"",697.099975585938,-79.28,39.98,"F"
"77",107525,"C1310F014",34.72,1.617319877,"measured",0,1,"",697.099975585938,-79.28,39.98,"F"
